	id	title	genre	runtime	release_dt	budget	us_boxoffice_gross	mpaa_rating	user_rating	total_votes	critic_score
1366	15430	Hall Pass	Comedy, Romance	105	25 February 2011	$36,000,000	$45.06M	R	5.9	108609	45
1367	15431	The Hangover Part II	Comedy, Mystery	102	26 May 2011	$80,000,000	$254.46M	R	6.5	404253	44
1368	15432	Rango	Animation, Adventure, Comedy	107	4 March 2011	$135,000,000	$123.48M	PG	7.2	199621	75
1369	15433	My Week with Marilyn	Biography, Drama	99	23 December 2011	6,400,000	$14.60M	R	7.0	75654	65
1370	15434	Fright Night	Comedy, Horror	106	19 August 2011	$30,000,000	$18.30M	R	6.4	89914	64
1371	15435	Killer Joe	Crime, Drama, Thriller	102	29 June 2012	$11,000,000	$1.99M	R	6.7	63635	62
1372	15436	The Change-Up	Comedy, Fantasy	112	5 August 2011	$52,000,000	$37.08M	R	6.3	144776	39
1373	15437	Rio	Animation, Adventure, Comedy	96	15 April 2011	$90,000,000	$143.62M	G	6.9	178106	63
1374	15438	Final Destination 5	Horror, Thriller	92	12 August 2011	$40,000,000	$42.59M	R	5.9	90585	50
1375	15439	Arthur Christmas	Animation, Adventure, Comedy	97	23 November 2011	$100,000,000	$46.46M	PG	7.1	39414	69
1376	15440	The Mechanic	Action, Crime, Thriller	93	28 January 2011	$40,000,000	$29.12M	R	6.6	132350	49
1377	15441	Red Riding Hood	Fantasy, Horror, Mystery	100	11 March 2011	$42,000,000	$37.66M	PG-13	5.4	96886	29
1378	15442	Kung Fu Panda 2	Animation, Action, Adventure	90	26 May 2011	$150,000,000	$165.25M	PG	7.3	204713	67
1379	15443	Soul Surfer	Biography, Drama, Family	112	8 April 2011	$18,000,000	$43.85M	PG	7.1	38533	53
1380	15444	Diary of a Wimpy Kid: Rodrick Rules	Comedy, Family	99	25 March 2011	$21,000,000	$52.70M	PG	6.6	21054	51
1381	15445	Another Earth	Drama, Romance, Sci-Fi	92	12 October 2011	$100,000	$1.32M	PG-13	7.0	79564	66
1382	15446	Drive Angry	Action, Fantasy, Thriller	104	25 February 2011	$50,000,000	$10.71M	R	5.4	85804	44
1383	15447	Jack and Jill	Comedy	91	11 November 2011	$79,000,000	$74.16M	PG	3.4	65405	23
1384	15449	Ghost Rider: Spirit of Vengeance	Action, Fantasy, Thriller	96	17 February 2012	$57,000,000	$51.77M	PG-13	4.3	95250	34
1385	15451	We Bought a Zoo	Comedy, Drama, Family	124	23 December 2011	$50,000,000	$75.62M	PG	7.1	119401	58
1386	15452	Haywire	Action, Thriller	93	20 January 2012	$23,000,000	$18.94M	R	5.8	75691	67
1387	15453	Beastly	Drama, Fantasy, Romance	86	4 March 2011	$17,000,000	$27.87M	PG-13	5.6	68569	40
